Date,Dividend,Ticker,Ticker_Yahoo
2022-06-24,0.29355, WLMM4,WLMM4.SA
2022-07-07,0.094534, WLMM4,WLMM4.SA
2022-10-18,0.143233, WLMM4,WLMM4.SA
2023-01-09,0.286466, WLMM4,WLMM4.SA
2023-05-02,0.4389, WLMM4,WLMM4.SA
2023-08-09,0.229173, WLMM4,WLMM4.SA
2023-11-13,0.229173, WLMM4,WLMM4.SA
2024-02-09,0.229173, WLMM4,WLMM4.SA
2024-04-30,0.72955, WLMM4,WLMM4.SA
2024-08-13,0.229173, WLMM4,WLMM4.SA
2024-11-11,0.200526, WLMM4,WLMM4.SA
2025-02-17,0.229173, WLMM4,WLMM4.SA
2025-04-30,0.95419, WLMM4,WLMM4.SA
2025-09-10,0.358082, WLMM4,WLMM4.SA
2019-04-26,0.084538,AALR3,AALR3.SA
2020-04-28,0.087297,AALR3,AALR3.SA
2007-12-11,0.016302,ABEV3,ABEV3.SA
2008-04-15,0.066725,ABEV3,ABEV3.SA
2008-07-17,0.059253,ABEV3,ABEV3.SA
2008-09-30,0.050124,ABEV3,ABEV3.SA
2009-01-15,0.02649,ABEV3,ABEV3.SA
2009-04-23,0.016382,ABEV3,ABEV3.SA
2009-07-06,0.044071,ABEV3,ABEV3.SA
2009-09-16,0.052441,ABEV3,ABEV3.SA
2009-12-03,0.077473,ABEV3,ABEV3.SA
2010-03-19,0.059234,ABEV3,ABEV3.SA
2010-09-29,0.031585,ABEV3,ABEV3.SA
2010-09-30,0.063169,ABEV3,ABEV3.SA
2010-12-01,0.020377,ABEV3,ABEV3.SA
2011-03-04,0.111874,ABEV3,ABEV3.SA
2011-07-01,0.085741,ABEV3,ABEV3.SA
2011-10-03,0.1443,ABEV3,ABEV3.SA
2012-03-01,0.150496,ABEV3,ABEV3.SA
2012-06-22,0.073193,ABEV3,ABEV3.SA
2012-10-01,0.10269,ABEV3,ABEV3.SA
2012-12-27,0.180682,ABEV3,ABEV3.SA
2013-02-28,0.127188,ABEV3,ABEV3.SA
2013-09-16,0.129988,ABEV3,ABEV3.SA
2014-01-15,0.253977,ABEV3,ABEV3.SA
2014-04-03,0.059994,ABEV3,ABEV3.SA
2014-07-29,0.16,ABEV3,ABEV3.SA
2014-10-28,0.22,ABEV3,ABEV3.SA
2015-01-02,0.13,ABEV3,ABEV3.SA
2015-01-08,0.96,ABEV3,ABEV3.SA
2015-03-02,0.09,ABEV3,ABEV3.SA
2015-06-02,0.1,ABEV3,ABEV3.SA
2015-09-09,0.15,ABEV3,ABEV3.SA
2015-12-22,0.15,ABEV3,ABEV3.SA
2016-02-01,0.13,ABEV3,ABEV3.SA
2016-07-12,0.13,ABEV3,ABEV3.SA
